"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"HS","2020","202001","January 2020","0","0","2","Exports","222","El Salvador",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"509842765",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","233","Estonia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1326120943",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","246","Finland",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"5448161052",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","258","French Polynesia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"6452388",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","268","Georgia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"267908770",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","270","Gambia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"465671",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","275","State of Palestine",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"75927421",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","276","Germany",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"118896961121",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","296","Kiribati",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"2506204",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","300","Greece",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"3168540879",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","308","Grenada",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"1616148",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","320","Guatemala",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"1010292461",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","328","Guyana",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"323199033",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","344","China, Hong Kong SAR",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"36677064613",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","348","Hungary",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"10299011719",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","352","Iceland",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"380012467",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","372","Ireland",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"16630880263",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","376","Israel",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"4861330000",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","381","Italy",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"40770486940",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","392","Japan",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"49707982046",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","404","Kenya",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"525528528",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","417","Kyrgyzstan",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"107655468",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","426","Lesotho",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"114178399",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","428","Latvia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1084754202",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","440","Lithuania",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"2478848468",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","442","Luxembourg",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1163818740",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","446","China, Macao SAR",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"91710283",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","450","Madagascar",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"226180011",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","458","Malaysia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"20617932657",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","478","Mauritania",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"247477086",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","480","Mauritius",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"150589039",NA,NA,"0"
